OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
4263,OW-25,,200.500000000000000,218.500000000000000,-23,,18,PS,PAY STATION,240,-16,PAID,NE,INSVC,36114,17.977322271389827
4295,01-24,,217.000000000000000,235.000000000000000,-27,,18,PS,PAY STATION,240,-16,PAID,NE,INSVC,1026,17.981731833409896
4296,26-01,,210.000000000000000,217.000000000000000,24,,7,CLR,CLEARANCE,,,NP,NW,INSVC,58617,6.979317386195776
4316,OW-25,,272.000000000000000,283.000000000000000,23,,11,XW,CROSSWALK,,,NS,SW,INSVC,36113,10.986159783155347
4417,01-24,,22.000000000000000,34.500000000000000,-27,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,1026,12.487262404342717
4418,26-01,,105.000000000000000,123.000000000000000,24,,18,PS,PAY STATION,240,-06,PAID,NW,INSVC,58617,17.946940977633975
4438,OW-25,,146.000000000000000,164.000000000000000,23,,18,PS,PAY STATION,240,-11,PAID,SW,INSVC,36113,17.977322261357884
4454,25-01,,192.000000000000000,199.000000000000000,21,,7,CLR,CLEARANCE,,,NP,NW,INSVC,13345,6.980884611930928
4483,01-24,,277.000000000000000,286.500000000000000,-27,,10,XW,CROSSWALK,,,NS,NE,INSVC,1026,9.490331442169998
4484,26-01,,123.000000000000000,130.000000000000000,24,,7,CLR,CLEARANCE,,,NP,NW,INSVC,58617,6.979317386195776
4516,OW-23,,347.000000000000000,355.000000000000000,-25,,8,CLR,CLEARANCE,,,NP,NE,INSVC,13522,7.987652213516295
4571,25-01,,78.500000000000000,86.500000000000000,21,,8,CLR,CLEARANCE,,,NP,NW,INSVC,13345,7.978179681332851
4617,OW-25,,236.500000000000000,275.500000000000000,-23,,39,NP,NO PARKING,,-20/22,NP,NE,INSVC,36114,38.950900117215753
4621,25-01,,68.000000000000000,86.000000000000000,-21,,18,PS,PAY STATION,240,-03,PAID,SE,INSVC,13346,17.950811713310632
4651,01-24,,70.500000000000000,78.000000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.492331584112325
4652,26-03,,85.000000000000000,97.000000000000000,-30,,12,PS,PAY STATION,240,-07,PAID,SE,INSVC,81290,11.995204636215233
4742,25-01,,130.500000000000000,148.500000000000000,21,,18,PS,PAY STATION,240,-08,PAID,NW,INSVC,13345,17.950811703290920
4744,01-23,,336.500000000000000,354.500000000000000,-28,,18,PS-PLZ,PAY STATION - PLZ,240,-30,PAID,NE,INSVC,24042,17.960112082967861
4761,26-01,,147.000000000000000,151.000000000000000,-24,,4,CLR,CLEARANCE,,,NP,SE,INSVC,58618,3.988211478759340
4803,25-01,,41.500000000000000,60.000000000000000,21,,18,PS,PAY STATION,240,-00,PAID,NW,INSVC,13345,18.449502267213589
4821,26-03,,83.500000000000000,89.500000000000000,25,,6,CLR,CLEARANCE,,,NP,NW,INSVC,81289,5.997602302070181
4846,OW-25,,77.500000000000000,94.500000000000000,-23,,17,PS,PAY STATION,240,-04,PAID,NE,INSVC,36114,16.978584765621445
4850,25-01,,175.000000000000000,180.000000000000000,-21,,5,CLR,CLEARANCE,,,NP,SE,INSVC,13346,4.986294493167263
4879,01-24,,210.000000000000000,217.000000000000000,-27,,7,CLR,CLEARANCE,,,NP,NE,INSVC,1026,6.992844520920864
4880,26-01,,80.000000000000000,87.000000000000000,24,,7,CLR,CLEARANCE,,,NP,NW,INSVC,58617,6.979364754695839
4902,OW-25,,74.500000000000000,93.500000000000000,23,,19,PS,PAY STATION,240,-05,PAID,SW,INSVC,36113,18.976102854379718
5014,OW-25,,152.500000000000000,159.500000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36114,6.991162477248987
5018,25-01,,128.000000000000000,145.000000000000000,-21,,17,PS,PAY STATION,240,-09,PAID,SE,INSVC,13346,16.953516632879268
5057,02-24,,236.000000000000000,256.000000000000000,-26,,20,PS,PAY STATION,240,-20,PAID,NE,INSVC,70754,19.994533299950060
5068,27-00,,284.000000000000000,295.000000000000000,-28,,11,XW,CROSSWALK,,,NS,SE,INSVC,32426,10.999851474537049
5080,24-00,,248.000000000000000,268.500000000000000,-26,,20,PS,PAY STATION,240,-19,PAID,SE,INSVC,9146,20.440087459212052
5084,OW-26,,16.500000000000000,32.500000000000000,-23,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,36118,15.955715589651533
5120,24-01,,176.500000000000000,183.000000000000000,27,,6,BA,BARRIER AREA,,-26,NS,NW,INSVC,31889,6.481884056761165
5155,25-03,,45.500000000000000,70.500000000000000,27,,25,BIKE,BIKE ZONE,,-00,BIKE,NW,INSVC,13349,24.983928999469303
5156,02-25,,261.000000000000000,276.000000000000000,-25,,15,BA,BARRIER AREA,,-22,NS,NE,INSVC,2782,14.978948829949660
5191,27-00,,123.000000000000000,141.000000000000000,28,,18,PS,PAY STATION,240,-58,PAID,NW,INSVC,32425,17.999754183281329
5206,OW-26,,3.000000000000000,16.500000000000000,23,,14,CRBBLB,CURB BULB,,,NS,SW,INSVC,36117,13.462684259263032
5236,27-00,,87.000000000000000,105.000000000000000,-28,,18,PS,PAY STATION,240,-55,PAID,SE,INSVC,32426,17.999711077849096
5242,24-01,,193.000000000000000,203.000000000000000,27,,10,PS,PAY STATION,240,-30,PAID,NW,INSVC,31889,9.972115432617423
5324,OW-26,,144.500000000000000,151.000000000000000,-23,,6,CLR,CLEARANCE,,,NP,NE,INSVC,36118,6.482026976260530
5349,24-01,,44.000000000000000,61.000000000000000,-25,,17,PS,PAY STATION,240,-01,PAID,SE,INSVC,31890,16.952535118518064
5384,25-03,,70.500000000000000,88.500000000000000,27,,18,PS-LAY,PAY STATION - BUS LAYOVER,240,-02,PAID,NW,INSVC,13349,17.988419116546314
5385,02-25,,161.000000000000000,181.000000000000000,-25,,20,PS,PAY STATION,240,-12,PAID,NE,INSVC,2782,19.971920276923303
5423,27-00,,226.000000000000000,243.000000000000000,28,,17,PS,PAY STATION,240,-68,PAID,NW,INSVC,32425,16.999712062340095
5439,OW-26,,30.000000000000000,48.000000000000000,23,,18,PS,PAY STATION,240,-01,PAID,SW,INSVC,36117,17.950211282260156
5456,02-24,,196.000000000000000,216.000000000000000,-26,,20,PS,PAY STATION,240,-16,PAID,NE,INSVC,70754,19.994533299950060
5463,02-25,,143.000000000000000,150.000000000000000,28,,7,CLR,CLEARANCE,,,NP,SW,INSVC,2781,6.990183303750210
5467,27-00,,22.000000000000000,24.000000000000000,-28,,2,CLR,CLEARANCE,,,NP,SE,INSVC,32426,1.999998031018530
5473,24-01,,176.500000000000000,193.500000000000000,-25,,17,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-13T,LOAD,SE,INSVC,31890,16.952582449652059
5479,24-00,,258.500000000000000,265.000000000000000,25,,6,CLR,CLEARANCE,,,NP,NW,INSVC,9145,6.481014047540722
5483,OW-26,,96.000000000000000,116.000000000000000,-23,,20,PS,PAY STATION,240,-06,PAID,NE,INSVC,36118,19.944711235335465
5507,25-03,,28.000000000000000,31.000000000000000,-15,,3,CLR,CLEARANCE,,,NP,SE,INSVC,13350,2.998084928813594
5517,24-01,,150.500000000000000,171.500000000000000,-25,,21,ALLEY,ALLEY,,-11,NS,SE,INSVC,31890,20.941401081188374
5587,27-00,,253.000000000000000,261.000000000000000,-28,,8,CLR,CLEARANCE,,,NP,SE,INSVC,32426,7.999901734323632
5627,02-25,,100.000000000000000,107.000000000000000,28,,7,CLR,CLEARANCE,,,NP,SW,INSVC,2781,6.990183282700483
5639,02-24,,286.500000000000000,294.000000000000000,26,,8,CLR,CLEARANCE,,,NP,SW,INSVC,70753,7.497928444576725
5684,02-24,,30.000000000000000,36.000000000000000,-26,,6,CLR,CLEARANCE,,,NP,NE,INSVC,70754,5.998334999081325
5695,27-00,,105.000000000000000,112.000000000000000,-28,,7,CLR,CLEARANCE,,,NP,SE,INSVC,32426,6.999902718814528
5701,24-01,,93.000000000000000,102.500000000000000,27,,10,PS,PAY STATION,240,-10,PAID,NW,INSVC,31889,9.473485099872654
5734,25-03,,48.000000000000000,51.000000000000000,-15,,3,CR,CURB RAMP,,,NS,SE,INSVC,13350,2.998084918796798
5745,24-01,,145.500000000000000,150.500000000000000,-25,,5,CLR,CLEARANCE,,,NP,SE,INSVC,31890,4.986036177743768
5783,OW-26,,234.000000000000000,253.000000000000000,-23,,19,PS,PAY STATION,240,-16,PAID,NE,INSVC,36118,18.947416059024864
5802,02-24,,100.000000000000000,106.000000000000000,26,,6,CLR,CLEARANCE,,,NP,SW,INSVC,70753,5.998378074537199
